2024-11-15 20:21:05,574 | MainProcess | MainThread | docker.utils.config | DEBUG | Trying paths: ['/Users/ctavolazzi/.docker/config.json', '/Users/ctavolazzi/.dockercfg']
2024-11-15 20:21:06,099 | MainProcess | MainThread | httpx | DEBUG | load_verify_locations cafile='/Users/ctavolazzi/.pyenv/versions/3.10.13/lib/python3.10/site-packages/certifi/cacert.pem'
2024-11-15 20:21:06,114 | MainProcess | MainThread | AutogenGame | INFO | Starting Autogen CYOA game
2024-11-15 20:21:06,198 | MainProcess | MainThread | openai._base_client | DEBUG | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'json_data': {'messages': [{'content': "You are an AI game developer creating a text-based Choose Your Own Adventure game.\nYour task is to:\n1. Create engaging scenarios and choices\n2. Generate markdown files for game content\n3. Implement game state tracking\n4. Create character dialogue based on game state\n5. Log all game actions\n6. Maintain consistent story flow\n\nThe game should:\n- Start with Sam Iker waking from a dream about flying around a skyscraper\n- Have 3 main choices plus an 'other' option for each scene\n- Track game state and character stats\n- Generate dynamic dialogue based on player choices", 'role': 'system'}, {'content': 'Generate the following game components:\n\n1. Create the initial game scene in markdown format\n2. Write a Python class to track game state\n3. Implement a function to handle player choices\n4. Create a logging system for game actions\n\nBegin with the first task: Create the initial game scene in markdown.', 'role': 'user', 'name': 'user_proxy'}], 'model': 'gpt-4o-mini', 'seed': 42, 'stream': False, 'temperature': 0.7}}
2024-11-15 20:21:06,230 | MainProcess | MainThread | openai._base_client | DEBUG | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2024-11-15 20:21:06,232 | MainProcess | MainThread | httpcore.connection | DEBUG | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=120 socket_options=None
2024-11-15 20:21:09,686 | MainProcess | MainThread | httpcore.connection | DEBUG | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1228aae60>
2024-11-15 20:21:09,686 | MainProcess | MainThread | httpcore.connection | DEBUG | start_tls.started ssl_context=<ssl.SSLContext object at 0x122821ac0> server_hostname='api.openai.com' timeout=120
2024-11-15 20:21:09,775 | MainProcess | MainThread | httpcore.connection | DEBUG | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1228631f0>
2024-11-15 20:21:09,776 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_headers.started request=<Request [b'POST']>
2024-11-15 20:21:09,777 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_headers.complete
2024-11-15 20:21:09,777 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_body.started request=<Request [b'POST']>
2024-11-15 20:21:09,777 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_body.complete
2024-11-15 20:21:09,777 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_headers.started request=<Request [b'POST']>
2024-11-15 20:21:15,323 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Sat, 16 Nov 2024 04:21:15 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'access-control-expose-headers', b'X-Request-ID'), (b'openai-organization', b'gentle-bull-co'), (b'openai-processing-ms', b'5203'), (b'openai-version', b'2020-10-01'), (b'x-ratelimit-limit-requests', b'5000'), (b'x-ratelimit-limit-tokens', b'2000000'), (b'x-ratelimit-remaining-requests', b'4999'), (b'x-ratelimit-remaining-tokens', b'1999764'), (b'x-ratelimit-reset-requests', b'12ms'), (b'x-ratelimit-reset-tokens', b'7ms'), (b'x-request-id', b'req_1344b5655a02edbefedeced02ca43b08'), (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Set-Cookie', b'__cf_bm=RAerv5ml91VlWh7r_jgoJk5I.2aLQZk5aUKDPBiDHlY-1731730875-1.0.1.1-zQvMGqgdHO9GRoHMkKDHl2UL2h7sTjnpFBv_ia05ZAdwJiOFQEyc2ubfq1Iq3M4t0OUP0gJeCSwNEkmNRI43cw; path=/; expires=Sat, 16-Nov-24 04:51:15 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), (b'X-Content-Type-Options', b'nosniff'), (b'Set-Cookie', b'_cfuvid=RZjwkzhR4.I0TZiNZMOra7pHbtr2c8gHP4Q6FUa1Lf0-1731730875579-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), (b'Server', b'cloudflare'), (b'CF-RAY', b'8e34b1532f79ced9-SJC'), (b'Content-Encoding', b'br'), (b'alt-svc', b'h3=":443"; ma=86400')])
2024-11-15 20:21:15,325 | MainProcess | MainThread | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-11-15 20:21:15,325 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_body.started request=<Request [b'POST']>
2024-11-15 20:21:15,326 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_body.complete
2024-11-15 20:21:15,326 | MainProcess | MainThread | httpcore.http11 | DEBUG | response_closed.started
2024-11-15 20:21:15,326 | MainProcess | MainThread | httpcore.http11 | DEBUG | response_closed.complete
2024-11-15 20:21:15,327 | MainProcess | MainThread | openai._base_client | DEBUG | HTTP Response: POST https://api.openai.com/v1/chat/completions "200 OK" Headers([('date', 'Sat, 16 Nov 2024 04:21:15 GMT'), ('content-type', 'application/json'), ('transfer-encoding', 'chunked'), ('connection', 'keep-alive'), ('access-control-expose-headers', 'X-Request-ID'), ('openai-organization', 'gentle-bull-co'), ('openai-processing-ms', '5203'), ('openai-version', '2020-10-01'), ('x-ratelimit-limit-requests', '5000'), ('x-ratelimit-limit-tokens', '2000000'), ('x-ratelimit-remaining-requests', '4999'), ('x-ratelimit-remaining-tokens', '1999764'), ('x-ratelimit-reset-requests', '12ms'), ('x-ratelimit-reset-tokens', '7ms'), ('x-request-id', 'req_1344b5655a02edbefedeced02ca43b08'), ('strict-transport-security', 'max-age=31536000; includeSubDomains; preload'), ('cf-cache-status', 'DYNAMIC'), ('set-cookie', '__cf_bm=RAerv5ml91VlWh7r_jgoJk5I.2aLQZk5aUKDPBiDHlY-1731730875-1.0.1.1-zQvMGqgdHO9GRoHMkKDHl2UL2h7sTjnpFBv_ia05ZAdwJiOFQEyc2ubfq1Iq3M4t0OUP0gJeCSwNEkmNRI43cw; path=/; expires=Sat, 16-Nov-24 04:51:15 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), ('x-content-type-options', 'nosniff'), ('set-cookie', '_cfuvid=RZjwkzhR4.I0TZiNZMOra7pHbtr2c8gHP4Q6FUa1Lf0-1731730875579-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), ('server', 'cloudflare'), ('cf-ray', '8e34b1532f79ced9-SJC'), ('content-encoding', 'br'), ('alt-svc', 'h3=":443"; ma=86400')])
2024-11-15 20:21:15,327 | MainProcess | MainThread | openai._base_client | DEBUG | request_id: req_1344b5655a02edbefedeced02ca43b08
2024-11-15 20:21:15,450 | MainProcess | MainThread | openai._base_client | DEBUG | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'json_data': {'messages': [{'content': "You are an AI game developer creating a text-based Choose Your Own Adventure game.\nYour task is to:\n1. Create engaging scenarios and choices\n2. Generate markdown files for game content\n3. Implement game state tracking\n4. Create character dialogue based on game state\n5. Log all game actions\n6. Maintain consistent story flow\n\nThe game should:\n- Start with Sam Iker waking from a dream about flying around a skyscraper\n- Have 3 main choices plus an 'other' option for each scene\n- Track game state and character stats\n- Generate dynamic dialogue based on player choices", 'role': 'system'}, {'content': 'Generate the following game components:\n\n1. Create the initial game scene in markdown format\n2. Write a Python class to track game state\n3. Implement a function to handle player choices\n4. Create a logging system for game actions\n\nBegin with the first task: Create the initial game scene in markdown.', 'role': 'user', 'name': 'user_proxy'}, {'content': '# Choose Your Own Adventure: Skyward Dreams\n\n## Scene 1: Awakening from the Dream\n\nYou awake with a start, your heart racing and your mind still buzzing with the remnants of a vivid dream. In it, you soared above the city, gliding around towering skyscrapers, feeling the wind rush past you and the thrill of freedom enveloping you. The sun streams through your bedroom window, casting golden rays across the floor, grounding you back in reality.\n\nAs you sit up in bed, you can still feel the echoes of your dream. You look around your room, cluttered with books and sketches of your dreams of flying. You take a deep breath, contemplating your next move.\n\n### What do you want to do?\n\n1. **Go outside and take a walk to clear your mind.**\n2. **Start sketching your dream of flying in your notebook.**\n3. **Try to remember more details about your dream and write them down.**\n4. **Other (describe your action):** \n\n---\n\n**Please choose an option (1, 2, 3, or 4) to continue.**', 'role': 'assistant', 'name': 'assistant'}, {'content': '', 'role': 'user', 'name': 'user_proxy'}], 'model': 'gpt-4o-mini', 'seed': 42, 'stream': False, 'temperature': 0.7}}
2024-11-15 20:21:15,452 | MainProcess | MainThread | openai._base_client | DEBUG | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2024-11-15 20:21:15,452 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_headers.started request=<Request [b'POST']>
2024-11-15 20:21:15,452 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_headers.complete
2024-11-15 20:21:15,452 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_body.started request=<Request [b'POST']>
2024-11-15 20:21:15,453 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_body.complete
2024-11-15 20:21:15,453 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_headers.started request=<Request [b'POST']>
2024-11-15 20:21:25,995 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Sat, 16 Nov 2024 04:21:26 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'access-control-expose-headers', b'X-Request-ID'), (b'openai-organization', b'gentle-bull-co'), (b'openai-processing-ms', b'9786'), (b'openai-version', b'2020-10-01'), (b'x-ratelimit-limit-requests', b'5000'), (b'x-ratelimit-limit-tokens', b'2000000'), (b'x-ratelimit-remaining-requests', b'4999'), (b'x-ratelimit-remaining-tokens', b'1999519'), (b'x-ratelimit-reset-requests', b'12ms'), (b'x-ratelimit-reset-tokens', b'14ms'), (b'x-request-id', b'req_2a34ba8d03cd32ba6421a7a50b537b72'), (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), (b'cf-cache-status', b'DYNAMIC'), (b'X-Content-Type-Options', b'nosniff'), (b'Server', b'cloudflare'), (b'CF-RAY', b'8e34b17a1da7ced9-SJC'), (b'Content-Encoding', b'br'), (b'alt-svc', b'h3=":443"; ma=86400')])
2024-11-15 20:21:25,996 | MainProcess | MainThread | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-11-15 20:21:25,996 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_body.started request=<Request [b'POST']>
2024-11-15 20:21:25,997 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_body.complete
2024-11-15 20:21:25,997 | MainProcess | MainThread | httpcore.http11 | DEBUG | response_closed.started
2024-11-15 20:21:25,997 | MainProcess | MainThread | httpcore.http11 | DEBUG | response_closed.complete
2024-11-15 20:21:25,998 | MainProcess | MainThread | openai._base_client | DEBUG | HTTP Response: POST https://api.openai.com/v1/chat/completions "200 OK" Headers({'date': 'Sat, 16 Nov 2024 04:21:26 GMT', 'content-type': 'application/json', 'transfer-encoding': 'chunked', 'connection': 'keep-alive', 'access-control-expose-headers': 'X-Request-ID', 'openai-organization': 'gentle-bull-co', 'openai-processing-ms': '9786', 'openai-version': '2020-10-01', 'x-ratelimit-limit-requests': '5000', 'x-ratelimit-limit-tokens': '2000000', 'x-ratelimit-remaining-requests': '4999', 'x-ratelimit-remaining-tokens': '1999519', 'x-ratelimit-reset-requests': '12ms', 'x-ratelimit-reset-tokens': '14ms', 'x-request-id': 'req_2a34ba8d03cd32ba6421a7a50b537b72', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'cf-cache-status': 'DYNAMIC', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '8e34b17a1da7ced9-SJC', 'content-encoding': 'br', 'alt-svc': 'h3=":443"; ma=86400'})
2024-11-15 20:21:25,998 | MainProcess | MainThread | openai._base_client | DEBUG | request_id: req_2a34ba8d03cd32ba6421a7a50b537b72
2024-11-15 20:21:26,054 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/3cd14a07037bbb4961d7ff4328ad845290c2ab25ac4cee5e4c27446b2659c2c1/exec HTTP/1.1" 201 None
2024-11-15 20:21:26,064 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/exec/6216a35d51c34aa4f3adc7290eec5e5f31e1a1bccd02e8b5c5993435bdb4cca1/start HTTP/1.1" 101 0
2024-11-15 20:21:26,171 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/exec/6216a35d51c34aa4f3adc7290eec5e5f31e1a1bccd02e8b5c5993435bdb4cca1/json HTTP/1.1" 200 None
2024-11-15 20:21:26,179 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/3cd14a07037bbb4961d7ff4328ad845290c2ab25ac4cee5e4c27446b2659c2c1/exec HTTP/1.1" 201 None
2024-11-15 20:21:26,189 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/exec/dfea6555a54a7ec81631f466e05871eb8c0f768f056c63a7c47f4a0e89eabb8a/start HTTP/1.1" 101 0
2024-11-15 20:21:26,254 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/exec/dfea6555a54a7ec81631f466e05871eb8c0f768f056c63a7c47f4a0e89eabb8a/json HTTP/1.1" 200 None
2024-11-15 20:21:26,262 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/3cd14a07037bbb4961d7ff4328ad845290c2ab25ac4cee5e4c27446b2659c2c1/exec HTTP/1.1" 201 None
2024-11-15 20:21:26,271 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/exec/ff4863e8172f3bca1f887f8b1c657547c5e381606e1a3b6ed74ed6f9a95e482d/start HTTP/1.1" 101 0
2024-11-15 20:21:26,485 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/exec/ff4863e8172f3bca1f887f8b1c657547c5e381606e1a3b6ed74ed6f9a95e482d/json HTTP/1.1" 200 None
2024-11-15 20:21:26,551 | MainProcess | MainThread | openai._base_client | DEBUG | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'json_data': {'messages': [{'content': "You are an AI game developer creating a text-based Choose Your Own Adventure game.\nYour task is to:\n1. Create engaging scenarios and choices\n2. Generate markdown files for game content\n3. Implement game state tracking\n4. Create character dialogue based on game state\n5. Log all game actions\n6. Maintain consistent story flow\n\nThe game should:\n- Start with Sam Iker waking from a dream about flying around a skyscraper\n- Have 3 main choices plus an 'other' option for each scene\n- Track game state and character stats\n- Generate dynamic dialogue based on player choices", 'role': 'system'}, {'content': 'Generate the following game components:\n\n1. Create the initial game scene in markdown format\n2. Write a Python class to track game state\n3. Implement a function to handle player choices\n4. Create a logging system for game actions\n\nBegin with the first task: Create the initial game scene in markdown.', 'role': 'user', 'name': 'user_proxy'}, {'content': '# Choose Your Own Adventure: Skyward Dreams\n\n## Scene 1: Awakening from the Dream\n\nYou awake with a start, your heart racing and your mind still buzzing with the remnants of a vivid dream. In it, you soared above the city, gliding around towering skyscrapers, feeling the wind rush past you and the thrill of freedom enveloping you. The sun streams through your bedroom window, casting golden rays across the floor, grounding you back in reality.\n\nAs you sit up in bed, you can still feel the echoes of your dream. You look around your room, cluttered with books and sketches of your dreams of flying. You take a deep breath, contemplating your next move.\n\n### What do you want to do?\n\n1. **Go outside and take a walk to clear your mind.**\n2. **Start sketching your dream of flying in your notebook.**\n3. **Try to remember more details about your dream and write them down.**\n4. **Other (describe your action):** \n\n---\n\n**Please choose an option (1, 2, 3, or 4) to continue.**', 'role': 'assistant', 'name': 'assistant'}, {'content': '', 'role': 'user', 'name': 'user_proxy'}, {'content': '## Task 2: Write a Python Class to Track Game State\n\nHere\'s a Python class to manage the game state, character stats, and actions:\n\n```python\nclass GameState:\n    def __init__(self):\n        self.player_name = "Sam Iker"\n        self.current_scene = 1\n        self.inventory = []\n        self.dream_memory = ""\n        self.stats = {\n            "happiness": 50,\n            "creativity": 50,\n            "energy": 100\n        }\n        self.log = []\n\n    def update_scene(self, new_scene):\n        self.current_scene = new_scene\n        self.log_action(f"Moved to scene {new_scene}")\n\n    def add_to_inventory(self, item):\n        self.inventory.append(item)\n        self.log_action(f"Added {item} to inventory")\n\n    def remember_dream(self, details):\n        self.dream_memory += details + "\\n"\n        self.log_action(f"Remembered dream details: {details}")\n\n    def log_action(self, action):\n        self.log.append(action)\n\n    def display_stats(self):\n        return f"Happiness: {self.stats[\'happiness\']}, Creativity: {self.stats[\'creativity\']}, Energy: {self.stats[\'energy\']}"\n\n    def __str__(self):\n        return f"Current Scene: {self.current_scene}, Inventory: {self.inventory}, Dream Memory: {self.dream_memory}"\n```\n\n### Explanation:\n- The `GameState` class initializes with basic player information, current scene, inventory, memory of the dream, and character stats (happiness, creativity, energy).\n- Methods allow updating the scene, modifying the inventory, remembering dream details, logging actions, and displaying stats.\n- The `log_action` method keeps track of game actions for later review.\n\n---\n\n## Task 3: Implement a Function to Handle Player Choices\n\nHere\'s a function to handle player choices based on the provided options:\n\n```python\ndef handle_player_choice(game_state, choice):\n    if choice == 1:\n        game_state.update_scene(2)  # Move to the next scene where Sam goes for a walk\n        game_state.stats[\'energy\'] -= 10  # Walking takes some energy\n        return "You step outside and feel the fresh air fill your lungs. The world is vibrant and alive."\n    elif choice == 2:\n        game_state.update_scene(3)  # Move to the next scene where Sam sketches\n        game_state.stats[\'creativity\'] += 10  # Sketching boosts creativity\n        return "You grab your sketchbook and start drawing your dream of flying, feeling inspired."\n    elif choice == 3:\n        game_state.update_scene(4)  # Move to the next scene where Sam remembers details\n        game_state.remember_dream("Flying around skyscrapers with joy and freedom.")\n        game_state.stats[\'happiness\'] += 5  # Remembering boosts happiness\n        return "You close your eyes and recall every detail of your dream, feeling a wave of happiness."\n    elif choice == 4:\n        return "You decide to do something else. What will it be?"\n    else:\n        return "Invalid choice. Please choose again."\n```\n\n---\n\n## Task 4: Create a Logging System for Game Actions\n\nThe logging system is integrated into the `GameState` class, recording actions via the `log_action` method. Each method that modifies the game state calls this method to ensure all actions are logged.\n\nHere\'s an example of how to view the log:\n\n```python\ndef display_log(game_state):\n    return "\\n".join(game_state.log)\n\n# Example usage\ngame_state = GameState()\nhandle_player_choice(game_state, 1)\nprint(display_log(game_state))\n```\n\nThis setup allows you to track all actions taken throughout the game, ensuring a consistent narrative flow and enabling players to reflect on their journey.\n\n---\n\nWith these components in place, the game is ready to continue building out the narratives, choices, and character interactions. Let me know if you would like to proceed with the next scene or any other aspect of the game!', 'role': 'assistant', 'name': 'assistant'}, {'content': 'exitcode: 1 (execution failed)\nCode output: Traceback (most recent call last):\n  File "/workspace/tmp_code_7d4e1c0b20b6b2d2af1506be3c6bac45.python", line 5, in <module>\n    game_state = GameState()\n                 ^^^^^^^^^\nNameError: name \'GameState\' is not defined\n', 'role': 'user', 'name': 'user_proxy'}], 'model': 'gpt-4o-mini', 'seed': 42, 'stream': False, 'temperature': 0.7}}
2024-11-15 20:21:26,553 | MainProcess | MainThread | openai._base_client | DEBUG | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2024-11-15 20:21:26,553 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_headers.started request=<Request [b'POST']>
2024-11-15 20:21:26,553 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_headers.complete
2024-11-15 20:21:26,553 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_body.started request=<Request [b'POST']>
2024-11-15 20:21:26,554 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_body.complete
2024-11-15 20:21:26,554 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_headers.started request=<Request [b'POST']>
2024-11-15 20:21:38,977 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Sat, 16 Nov 2024 04:21:38 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'access-control-expose-headers', b'X-Request-ID'), (b'openai-organization', b'gentle-bull-co'), (b'openai-processing-ms', b'9018'), (b'openai-version', b'2020-10-01'), (b'x-ratelimit-limit-requests', b'5000'), (b'x-ratelimit-limit-tokens', b'2000000'), (b'x-ratelimit-remaining-requests', b'4999'), (b'x-ratelimit-remaining-tokens', b'1998504'), (b'x-ratelimit-reset-requests', b'12ms'), (b'x-ratelimit-reset-tokens', b'44ms'), (b'x-request-id', b'req_b31710c572cba0f62a8b423e47ea11cd'), (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), (b'CF-Cache-Status', b'DYNAMIC'), (b'X-Content-Type-Options', b'nosniff'), (b'Server', b'cloudflare'), (b'CF-RAY', b'8e34b1c14e7aced9-SJC'), (b'Content-Encoding', b'br'), (b'alt-svc', b'h3=":443"; ma=86400')])
2024-11-15 20:21:38,983 | MainProcess | MainThread | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-11-15 20:21:38,983 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_body.started request=<Request [b'POST']>
2024-11-15 20:21:38,984 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_body.complete
2024-11-15 20:21:38,984 | MainProcess | MainThread | httpcore.http11 | DEBUG | response_closed.started
2024-11-15 20:21:38,984 | MainProcess | MainThread | httpcore.http11 | DEBUG | response_closed.complete
2024-11-15 20:21:38,984 | MainProcess | MainThread | openai._base_client | DEBUG | HTTP Response: POST https://api.openai.com/v1/chat/completions "200 OK" Headers({'date': 'Sat, 16 Nov 2024 04:21:38 GMT', 'content-type': 'application/json', 'transfer-encoding': 'chunked', 'connection': 'keep-alive', 'access-control-expose-headers': 'X-Request-ID', 'openai-organization': 'gentle-bull-co', 'openai-processing-ms': '9018', 'openai-version': '2020-10-01', 'x-ratelimit-limit-requests': '5000', 'x-ratelimit-limit-tokens': '2000000', 'x-ratelimit-remaining-requests': '4999', 'x-ratelimit-remaining-tokens': '1998504', 'x-ratelimit-reset-requests': '12ms', 'x-ratelimit-reset-tokens': '44ms', 'x-request-id': 'req_b31710c572cba0f62a8b423e47ea11cd', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'cf-cache-status': 'DYNAMIC', 'x-content-type-options': 'nosniff', 'server': 'cloudflare', 'cf-ray': '8e34b1c14e7aced9-SJC', 'content-encoding': 'br', 'alt-svc': 'h3=":443"; ma=86400'})
2024-11-15 20:21:38,985 | MainProcess | MainThread | openai._base_client | DEBUG | request_id: req_b31710c572cba0f62a8b423e47ea11cd
2024-11-15 20:21:39,054 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/3cd14a07037bbb4961d7ff4328ad845290c2ab25ac4cee5e4c27446b2659c2c1/exec HTTP/1.1" 201 None
2024-11-15 20:21:39,069 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/exec/ec0b98e7fb267d27a4c520ba67f525da793a7bd8afc99234f98c8c80a351a525/start HTTP/1.1" 101 0
2024-11-15 20:21:39,168 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/exec/ec0b98e7fb267d27a4c520ba67f525da793a7bd8afc99234f98c8c80a351a525/json HTTP/1.1" 200 None
2024-11-15 20:21:39,179 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/autogen-code-exec-9268be54-acf7-4591-868e-a730f0183deb/json HTTP/1.1" 200 None
2024-11-15 20:21:49,324 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/3cd14a07037bbb4961d7ff4328ad845290c2ab25ac4cee5e4c27446b2659c2c1/stop HTTP/1.1" 204 0
2024-11-15 20:21:49,390 | MainProcess | MainThread | httpcore.connection | DEBUG | close.started
2024-11-15 20:21:49,391 | MainProcess | MainThread | httpcore.connection | DEBUG | close.complete
